Timestamp,CAN ID,x [g],y [g],z [g],x_incl [g],y_incl [g],z_incl [g],x_acc [g],y_acc [g],z_acc [g],Tetha_XZ [deg],Tetha_YZ [deg]
2025-11-08 16:10:25.743632,19D,-0.405,0.136,0.899,0.006706480547034217,-0.5543478591001098,0.718833946531488,-0.25692696455850494,-0.2677875629278752,-0.1488903610017619,0.5345349706496636,-37.638565782119066
2025-11-08 16:10:25.744668,19D,-0.414,0.138,0.913,0.0049048350610244535,-0.556599547741709,0.717718266891682,-0.26796221095983636,-0.26570915207105494,-0.13617316596148377,0.3915491445683099,-37.79402814773313
2025-11-08 16:10:25.745639,19D,-0.421,0.143,0.93,0.003096219928192978,-0.5588412542992309,0.7166031105188682,-0.27679576706555403,-0.2606518249296299,-0.12073277455018805,0.24755576387198486,-37.94880346231981
2025-11-08 16:10:25.746619,19D,-0.423,0.145,0.937,0.0012806907621044255,-0.5610729101047442,0.7154885198977802,-0.2805003194826403,-0.25861545208757497,-0.1154955251642159,0.10255663804975654,-38.10288845428966
2025-11-08 16:10:25.747618,19D,-0.423,0.133,0.944,-0.0005416965701944314,-0.5632944468104616,0.7143745374827866,-0.28214782521008974,-0.2704279516657378,-0.11035814895012408,-0.043446287166922955,-38.25627991124165
2025-11-08 16:10:25.748608,19D,-0.419,0.137,0.944,-0.0023708859508861342,-0.5655057963913122,0.71326120569671,-0.27979940126990466,-0.266111172649965,-0.11224876288387453,-0.19045092780105238,-38.40897467952605
2025-11-08 16:10:25.749508,19D,-0.417,0.137,0.941,-0.004206821014123571,-0.5677068911475296,0.7121485669297027,-0.2794750871802259,-0.26578789811216663,-0.11706586558157406,-0.3384550596428522,-38.56096966379368
2025-11-08 16:10:25.750510,19D,-0.418,0.138,0.934,-0.00604944514877755,-0.5698976637072567,0.7110366635381342,-0.28212391489221295,-0.2644279463284417,-0.1257393304216593,-0.48745631627821945,-38.71226182653389
2025-11-08 16:10:25.751621,19D,-0.418,0.139,0.931,-0.007898701501184394,-0.5720780470291503,0.709925537843453,-0.2837257782762294,-0.2630419027562402,-0.13027055064463788,-0.6374521871340254,-38.862848187602026
2025-11-08 16:10:25.752622,19D,-0.42,0.15,0.935,-0.009754532977901088,-0.5742479744049741,0.7088152321309996,-0.2872708918983129,-0.2517312818813563,-0.12777217557890608,-0.7884400155426251,-39.012725823737334
